Entity,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Value_co2_emissions_kt_by_country,gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2)
Spain,100.0,100.0,17.27,111.55,58.35,100.99,58.82092,33764.863,239979.9957,2.085191421,29555.3157,94,505370.0
Sri Lanka,99.75857,30.6,49.91,10.18,0.0,5.71,35.934547,4973.5986,23780.00069,2.255176529,3852.265603,341,65610.0
Sudan,53.96254,53.6,62.23,5.98,0.0,10.33,63.33538,2459.3628,20620.00084,-2.178251045,610.9278615,25,1861484.0
Suriname,97.82542,93.9,14.4,0.99,0.0,0.96,49.230766,21629.324,2650.000095,1.098467778,6853.693411,4,163820.0
Sweden,100.0,100.0,52.88,3.35,66.13,98.94,98.010925,63283.47,35000.0,1.986195874,51939.42974,25,450295.0
Switzerland,100.0,100.0,24.76,3.58,25.28,37.64,94.61654,39156.45,37380.00107,1.210992207,85334.51946,219,41277.0
Tajikistan,99.63321,81.6,38.56,1.42,0.0,19.17,93.10345,8041.5947,9420.000076,7.399999638,890.5444024,68,144100.0
Thailand,99.9,82.7,23.96,162.59,0.0,28.02,14.700173,20792.385,267089.9963,2.266433672,7817.009671,137,513120.0
Togo,52.36311,9.25,76.21,0.45,0.0,0.25,35.714287,1304.0579,2369.999886,5.459921448,893.3524541,152,56785.0
Tonga,98.4,82.1,1.77,0.06,0.0,0.01,14.285714,6863.2144,159.9999964,0.734030017,4903.012138,147,747.0
Trinidad and Tobago,100.0,100.0,0.43,8.63,0.0,0.01,0.11574074,123712.94,17190.00053,-1.246427336,16637.16294,273,5128.0
Tunisia,100.0,99.8,12.2,19.73,0.0,0.82,3.9902678,10128.142,29909.99985,1.401976676,3574.654024,76,163610.0
Turkmenistan,99.9,99.9,0.06,21.18,0.0,0.0,0.0,57961.055,72870.00275,6.3,7612.03518,13,488100.0
Uganda,41.3,0.5,90.22,0.09,0.0,4.24,97.92147,811.62756,5860.000134,6.438745034,798.5857341,229,241038.0
Ukraine,100.0,94.9,7.44,57.79,83.0,11.87,62.144634,21661.146,174729.9957,3.199503862,3661.456204,75,603550.0
United Arab Emirates,100.0,100.0,0.67,125.85,0.0,3.8,2.930968,134878.39,188860.0006,3.411538686,42701.44305,118,83600.0
United Kingdom,100.0,100.0,12.24,144.99,56.18,120.48,54.923054,32893.76,348920.0134,1.671944197,43070.49836,281,243610.0
United States,100.0,100.0,10.42,2588.21,809.41,760.76,37.75918,79489.016,4817720.215,2.161176515,65279.52903,36,9833517.0
Uruguay,99.9,100.0,60.76,1.89,0.0,14.16,88.224304,19985.01,6489.999771,0.350447153,17688.01501,20,176215.0
Uzbekistan,100.0,84.6,1.57,53.64,0.0,6.47,10.7636,16212.221,116709.9991,5.709632222,1784.009816,79,447400.0
Vanuatu,64.59019,8.0,31.86,0.05,0.0,0.02,28.571428,3154.4717,209.9999934,3.912534737,3116.297759,25,12189.0
Zambia,43.0,11.2,84.5,2.05,0.0,12.62,86.0259,2983.8816,6800.000191,1.441306026,1305.001031,25,752618.0
Zimbabwe,46.781475,30.1,81.5,3.66,0.0,4.58,55.582527,3003.6553,11760.00023,-6.144236314,1316.740657,38,390757.0
