Entity,Year,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Value_co2_emissions_kt_by_country,gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2)
Iceland,2019,100.0,100.0,81.07,0.0,0.0,19.12,100.0,175527.73,1639.999986,2.434823,68941.46223,3,103000.0
India,2014,83.8725,44.8,33.85,1025.29,34.69,202.04,18.758022,5857.2837,2147110.107,7.410227605,1573.885642,464,3287263.0
India,2019,97.308266,63.9,32.93,1273.59,45.16,303.16,21.475914,6731.805,2456300.049,4.041554187,2100.751461,464,3287263.0
Iraq,2014,99.098434,97.7,1.0,60.94,0.0,2.96,4.632238,12829.746,134039.9933,0.19701671,6637.684375,93,438317.0
Iraq,2019,99.992004,98.9,0.43,83.85,0.0,5.34,5.987218,15430.376,174559.9976,5.957327503,5980.626918,93,438317.0
Ireland,2014,100.0,100.0,8.55,19.42,0.0,6.39,24.757847,35600.855,35529.99878,8.713697808,55525.89725,73,84421.0
Ireland,2019,100.0,100.0,12.34,18.92,0.0,11.8,38.41146,38270.875,35750.0,4.917006978,80886.61574,73,84421.0
Israel,2014,100.0,100.0,3.7,59.9,0.0,0.96,1.5773907,33226.094,64720.00122,4.124746861,37847.64994,400,20770.0
Israel,2019,100.0,100.0,4.47,68.82,0.0,2.9,4.0435023,35085.457,62650.00153,3.77358981,43951.24773,400,20770.0
Italy,2014,100.0,100.0,17.13,156.76,0.0,120.68,43.497692,29214.832,327500.0,-0.004547542,35518.41529,206,301340.0
Italy,2019,100.0,100.0,17.27,175.52,0.0,115.83,39.756306,30464.062,317239.9902,0.410278294,33641.63375,206,301340.0
Jamaica,2014,93.3,85.85,11.88,3.45,0.0,0.46,11.764706,12533.961,7190.000057,0.689822357,4834.284009,273,10991.0
Jamaica,2019,99.36762,83.4,9.09,3.6,0.0,0.65,15.294118,15387.241,8390.000343,0.892291654,5369.498371,273,10991.0
Japan,2014,100.0,100.0,5.58,892.18,0.0,136.53,13.271962,42146.168,1217119.995,0.296205514,38475.39525,347,377944.0
Japan,2019,100.0,100.0,7.69,735.66,63.88,192.72,25.860157,40868.688,1081569.946,0.270304645,40777.6087,347,377944.0
Jordan,2014,99.7485,99.9,3.1,17.1,0.0,0.08,0.46565774,11669.372,25549.99924,3.384078099,4131.44735,115,89342.0
Jordan,2019,100.0,99.9,8.17,16.41,0.0,3.02,15.542974,11258.242,24629.99916,1.955466358,4405.487109,115,89342.0
Kenya,2014,36.0,10.6,74.95,1.67,0.0,6.7,80.04779,1655.0222,15149.99962,5.020111002,1462.220052,94,580367.0
Kenya,2019,69.7,17.7,68.08,1.25,0.0,10.24,89.12098,1946.3412,22280.00069,4.981132628,1912.647867,94,580367.0
Kiribati,2014,83.45395,5.2,46.41,0.02,0.0,0.0,0.0,2120.318,59.99999866,-0.697737743,1642.820129,147,811.0
Kiribati,2019,90.03285,9.1,41.03,0.03,0.0,0.0,0.0,2592.4326,90.00000358,3.926445438,1601.861869,147,811.0
Kuwait,2014,100.0,100.0,0.0,61.23,0.0,0.01,0.016329195,114804.984,85569.99969,0.500876982,44062.34091,240,17818.0
Kuwait,2019,100.0,100.0,0.06,70.45,0.0,0.06,0.08509431,94612.555,92650.00153,0.42746394,32373.25112,240,17818.0
Latvia,2014,100.0,100.0,40.24,2.34,0.0,2.8,54.47471,20261.896,7280.00021,1.900096243,15721.45233,30,64589.0
Latvia,2019,100.0,100.0,41.52,3.25,0.0,3.19,49.53416,23394.7,7570.000172,2.484326355,17926.84159,30,64589.0
Lesotho,2014,27.8,35.8,42.39,0.0,0.0,0.52,100.0,2074.0635,610.0000143,1.710544004,1194.575627,71,30355.0
Lesotho,2019,44.50021,39.3,39.47,0.0,0.0,0.5,100.0,2188.859,769.9999809,-0.381431982,1113.37214,71,30355.0
