Entity,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Value_co2_emissions_kt_by_country,gdp_growth,gdp_per_capita,Density\n(P/Km2),Land Area(Km2)
Lithuania,1.0,1.0,0.3528359465431969,0.00013141841662384126,0.0,0.0012260680939356788,0.78662415,0.11860581407174534,0.0010899248573494982,0.6868352338845455,0.171231695941873,0.004906653901388224,0.006537936386146373
Luxembourg,1.0,1.0,0.17310323055877092,5.29596604305032e-05,0.0,0.00039710707495892427,0.7476635,0.3659693110359641,0.000880719071176014,0.6041712355732787,1.0,0.028721876495931067,0.0002568943585297791
Maldives,1.0,0.9899799599198397,0.011680521940439862,0.00011964960319484054,0.0,1.4891515310959658e-05,0.046875,0.08826215988221546,0.00019146066258784983,0.834860170072749,0.09145370581817418,0.215414073719483,2.7742587646295828e-05
Malta,1.0,1.0,0.08102704409133958,0.000364833216299022,0.0,0.00010424060717671761,0.10144928,0.38429426266881467,0.00014943271686298078,0.7487256296389638,0.2651371792095589,0.1649114408808042,2.954535507457498e-05
Mauritius,1.0,0.968937875751503,0.09407555508786698,0.0004903672262083629,0.0,0.0002928664677822066,0.19093851,0.10862977182912234,0.0003838553062605228,0.5867773063546545,0.09619353324942512,0.07467687888942078,0.00020221041320531147
Mexico,0.9956331877729258,0.8486973947895792,0.108807744922656,0.04868365821796627,0.013441889771562004,0.029286646778220665,0.21969315,0.08506379095620703,0.04195416901670559,0.3824202442841087,0.08604472513781365,0.007659167065581618,0.196737411600548
Mongolia,0.9697588427947599,0.5,0.03493633589392823,0.0011533437160420694,0.0,0.00032264949840412596,0.09954058,0.11574852377676806,0.0021490292730822202,0.752742176140703,0.03696445498949134,0.0,0.15664997337412662
Montenegro,1.0,0.6192384769539078,0.4076607387140903,0.00029422033572501776,0.0,0.0009580208183384047,0.5626822,0.0973704906570496,0.00023722443396664283,0.6541002513013012,0.0768421882107147,0.005385351842987075,0.0013812203112998763
Morocco,0.9956331877729258,0.9799599198396793,0.11249079238135325,0.006351236313850717,0.0,0.0037725172121097802,0.19009504,0.033879228530515414,0.006670303344893788,0.560859811154124,0.026610972413573644,0.009693633317376736,0.04472155205455895
Nauru,1.0,1.0,0.0064190255708723555,5.884406714500355e-06,0.0,0.0,0.0,0.10673044596700373,0.0,0.3937371539270649,0.09559672732173566,0.06450454763044519,0.0
